mol_title,mol_index,PRIMARY_som,element
1_2_4_trichlorobenzene,1,3,C
1_4_cineole,2,8,C
1_4_cineole,2,4,C
1_8_cineole,3,5,C
1_8_cineole,3,1,C
1_nitropyrene,4,8,C
3_hpph,5,3,C
4_hpph,6,4,C
4_hpph,6,2,C
4_hydroxytamoxifen,7,17,C
4_hydroxytamoxifen,7,16,C
4_nitropyrene,8,11,C
4_nitropyrene,8,9,C
5_methylchrysene,9,19,C
9_anthraldehyde,10,15,C
9_anthraldehyde,10,16,O
9_cis_retinoic_acid,11,15,C
BFBFC,12,17,C
BFC,13,17,C
BPU,14,30,C
BPU,14,29,C
CARBAMAZEPINE,15,15,C
CARBAMAZEPINE,15,12,C
CLARITHROMYCIN,16,40,C
CLARITHROMYCIN,16,39,C
CMV423,17,13,C
CORTISOL,18,13,C
DETC_Me,19,8,S
FELODIPINE,20,14,N
FELODIPINE,20,1,C
FLU-1,21,14,C
M17055,22,7,C
MK_0767,23,25,S
NNK,24,11,C
NN_diethylformamide,25,5,C
NN_diethylformamide,25,4,C
NN_dimethyl_M_toluamide,26,11,C
NN_dimethyl_M_toluamide,26,10,C
N_ac_DFEC,27,6,S
N_ac_FFVC,28,6,S
N_ac_PCBC,29,6,S
N_nitrosodiamylamine,30,9,C
N_nitrosodiamylamine,30,8,C
N_nitrosonornicotine,31,1,C
R_95913,32,21,S
SENECIONINE,33,1,C
SENECIONINE,33,8,C
TAXOL,34,57,C
V11294,35,29,C
abt_378,36,14,C
abt_438,37,7,C
acetochlor,38,17,C
adinazolam,39,24,C
adinazolam,39,23,C
aflatoxin_b1,40,11,C
alachlor,41,18,C
albendazole,42,13,S
alfentanil,43,10,C
all_trans_retinol,44,20,C
almotriptan,45,16,C
almotriptan,45,15,C
alpha_dihydroergocryptine,46,23,C
alpha_thujone,47,9,C
alprazolam,48,13,C
ambroxol,49,9,C
ametryne,50,14,S
amiodarone,51,30,C
amiodarone,51,28,C
amitriptyline,52,21,C
amitriptyline,52,20,C
amodiaquine,53,20,C
amodiaquine,53,18,C
androstenedione,54,8,C
aprepitant,55,4,C
aprepitant,55,33,C
aprepitant,55,31,C
aripiprazole,56,10,C
aripiprazole,56,6,C
artelinic_acid,57,21,C
astemizole,58,25,C
atorvastatin,59,36,C
atrazine,60,8,C
azelastine,61,27,C
barnidipine,62,30,C
beta_arteether,63,2,C
beta_thujone,64,1,C
bisoprolol,65,21,C
bortezomib,66,4,C
bosentan,67,39,C
bosentan,67,38,C
bosentan,67,37,C
bromocriptine,68,19,C
bromocriptine,68,18,C
brotizolam,69,1,C
budesonide,70,28,C
bufuralol,71,8,C
bupivacaine,72,4,C
buprenorphine,73,31,C
bupropion,74,14,C
bupropion,74,13,C
bupropion,74,12,C
capsaicin,75,4,C
capsaicin,75,7,N
capsaicin,75,20,C
carbaryl,76,7,C
carbofuran,77,5,C
carvedilol,78,11,C
cerivastatin,79,33,C
chloroquine,80,20,C
chloroquine,80,19,C
chlorpyrifos,81,1,P
chlorpyrifos,81,5,S
chlorzoxazone,82,3,C
cilostazol,83,27,C
cisapride,84,11,C
citalopram,85,23,C
citalopram,85,22,C
clindamycin,86,16,S
clobazam,87,15,C
clomipramine,88,21,C
clomipramine,88,20,C
clozapine,89,22,C
cocaine,90,4,C
codeine,91,21,C
colchicine,92,8,C
compound_1,93,1,N
compound_A,94,4,C
cp_195543,95,17,C
cp_199331,96,25,C
cqa_206_291,97,26,C
cqa_206_291,97,25,C
cyclobenzaprine,98,21,C
cyclobenzaprine,98,20,C
cyclophosphamide,99,10,C
cyclosporine_a,100,71,C
da_8159,101,12,C
ddb,102,17,C
ddb,102,14,C
dehydropranidipine,103,22,C
delavirdine,104,30,C
deoxycholic_acid,105,27,C
deramciclane,106,19,C
deramciclane,106,18,C
dexamethasone,107,20,C
dexloxiglumide,108,29,C
dextromethorphan,109,18,C
dextropropoxyphene,110,23,C
dextropropoxyphene,110,22,C
dhea,111,16,C
diazepam,112,13,C
diclofenac,113,13,C
digitoxin,114,46,C
dihydrocodeine,115,21,C
diltiazem,116,16,C
diltiazem,116,15,C
disopyramide,117,23,C
disopyramide,117,2,C
docetaxel,118,58,C
docetaxel,118,57,C
docetaxel,118,56,C
domperidone,119,30,C
doxepin,120,21,C
doxepin,120,20,C
dy_9760e,121,13,C
e_2101,122,20,C
ebastine,123,21,C
ecabapide,124,23,C
eletriptan,125,17,C
ellipticine,126,18,N
emetine,127,35,C
endosulfan,128,18,S
eplerenone,129,28,C
erythromycin,130,49,C
erythromycin,130,48,C
estazolam,131,13,C
estradiol,132,19,C
estrone,133,19,C
ethiprole,134,14,S
ethiprole,134,18,O
ethosuximide,135,2,C
etoperidone,136,25,C
etoposide,137,30,C
etoposide,137,29,C
etoricoxib,138,19,C
everolimus,139,67,C
ezlopitant,140,32,C
fenproporex,141,11,C
fentanyl,142,8,C
finasteride,143,27,C
finasteride,143,26,C
finasteride,143,25,C
fipronil,144,17,S
fipronil,144,19,O
fk_506,145,11,C
flosequinan,146,13,S
flosequinan,146,16,O
flucloxacillin,147,23,C
flunitrazepam,148,9,C
fluoxetine,149,17,C
fluticasone,150,23,S
fluvastatin,151,12,C
foxy,152,14,C
foxy,152,13,C
furametpyr,153,6,C
gefitinib,154,27,C
gefitinib,154,26,C
gepirone,155,13,C
gepirone,155,12,C
granisetron,156,23,C
h259_31,157,11,S
halofantrine,158,23,C
halofantrine,158,19,C
haloperidol,159,7,C
hydrocodone,160,21,C
hydromorphone,161,21,C
ifosfamide,162,8,C
iloperidone,163,29,C
imatinib,164,7,C
imidacloprid,165,8,C
imipramine,166,12,C
imipramine,166,13,C
indinavir,167,35,C
indomethacin_phenethylamide,168,27,C
irinotecan,169,38,C
irinotecan,169,37,C
isoquinoline,170,10,N
itraconazole,171,47,C
itraconazole,171,46,C
ivermectin,172,59,C
k_11777,173,33,C
ketamine,174,16,C
ketobemidone,175,18,C
kr_33028,176,4,C
kr_60436,177,8,C
kr_60436,177,10,C
laam,178,20,C
laam,178,21,C
lansoprazole,179,10,S
lansoprazole,179,11,O
laquinimod,180,13,C
laquinimod,180,9,C
laquinimod,180,6,C
lidocaine,181,12,C
lidocaine,181,11,C
lilopristone,182,3,C
lilopristone,182,1,C
linoleic_acid,183,4,C
linoleic_acid,183,6,C
lisofylline,184,18,C
lisofylline,184,17,C
lithocholic_acid,185,13,C
loperamide,186,19,C
loperamide,186,18,C
loratadine,187,24,C
losartan,188,29,C
lovastatin,189,2,C
ly_333531,190,31,C
ly_333531,190,30,C
malathion,191,5,P
malathion,191,11,S
mde,192,8,C
meloxicam,193,22,C
methadone,194,20,C
methadone,194,21,C
methaqualone,195,9,C
methiocarb,196,13,S
methoxychlor_mono_OH,197,14,C
methoxychlor_mono_OH,197,15,C
mexazolam,198,8,C
mianserin,199,18,N
midazolam,200,12,C
mifepristone,201,3,C
mifepristone,201,1,C
miocamycin,202,52,C
mirtazapine,203,15,C
montelukast,204,6,S
mycophenolic_acid,205,15,C
myristicin,206,9,C
naphthalene,207,10,C
naphthalene,207,9,C
naphthalene,207,3,C
naphthalene,207,4,C
ne_100,208,16,C
ne_100,208,15,C
nefazodone,209,16,C
nevirapine,210,14,C
nicardipine,211,28,C
nifedipine,212,7,C
nifedipine,212,10,N
nitrendipine,213,7,C
nitrendipine,213,10,N
no_1886,214,24,C
no_1886,214,26,C
nortriptyline,215,13,C
nortriptyline,215,10,C
ns_21,216,26,C
ns_21,216,25,C
olopatadine,217,25,C
olopatadine,217,24,C
omeprazole,218,12,S
omeprazole,218,23,O
onapristone,219,3,C
onapristone,219,1,C
org_30659,220,17,C
ortho_dichlorobenzene,221,6,C
ortho_dichlorobenzene,221,3,C
osu_6162,222,12,C
oxybutynin,223,24,C
oxybutynin,223,22,C
oxycodone,224,22,C
parathion,225,1,P
parathion,225,5,S
pentachlorobenzene,226,8,C
perazine,227,10,S
perphenazine,228,25,C
phenacetin,229,10,C
phencyclidine,230,16,C
phenprocoumon,231,21,C
phenytoin,232,19,C
phenytoin,232,18,C
phenytoin,232,17,C
phenytoin,232,16,C
phenytoin,232,15,C
phenytoin,232,14,C
phorate,233,9,S
pimobendan,234,8,C
pimozide,235,17,C
pinacidil,236,17,C
pinacidil,236,18,N
pradefovir,237,20,C
progesterone,238,8,C
promazine,239,10,S
propafenone,240,23,C
py74,241,5,C
pyrazoloacridine,242,27,C
pyrazoloacridine,242,26,C
quazepam,243,14,S
quazepam,243,7,C
quinacrine,244,24,C
quinacrine,244,23,C
quinidine,245,15,C
quinine,246,21,C
quinoline,247,6,N
rabeprazole_thioether,248,4,S
raloxifene,249,3,C
raloxifene,249,5,C
raloxifene,249,30,C
raloxifene,249,32,C
rebamipide,250,8,C
reboxetine,251,2,C
reduced_haloperidol,252,18,C
repaglinide,253,8,C
repaglinide,253,7,C
riddelliine,254,1,C
riddelliine,254,10,C
rifabutin,255,48,C
rifalazil,256,66,C
risperidone,257,28,C
ropinirole,258,13,C
ropinirole,258,12,C
ropivacaine,259,18,C
roquinimex,260,12,C
roquinimex,260,9,C
roquinimex,260,6,C
rotenone,261,13,C
roxithromycin,262,50,C
roxithromycin,262,49,C
rpr_106541,263,20,S
rutaecarpine,264,22,C
s_145,265,8,C
salicylate,266,5,C
salmeterol,267,24,C
saquinavir,268,12,C
sdz_imm_125,269,54,C
selegiline,270,14,C
seratrodast,271,17,C
serm_I,272,10,S
sertraline,273,20,C
sildenafil,274,7,C
simvastatin,275,21,C
simvastatin,275,14,C
sirolimus,276,51,C
sni_2011,277,9,S
sulfinpyrazone,278,2,S
sulfinpyrazone,278,29,O
sulfinpyrazone_sulfide,279,2,S
tamoxifen,280,27,C
tamoxifen,280,28,C
tamsulosin,281,27,C
tangeretin,282,27,C
tauromustine,283,4,N
tauromustine,283,8,O
tazofelone,284,8,S
teniposide,285,32,C
teniposide,285,30,C
tentoxin,286,29,C
terbinafine,287,11,C
terbuthylazine,288,8,C
terbutryne,289,14,S
terfenadine,290,34,C
terfenadine,290,33,C
terfenadine,290,32,C
territrem_A,291,36,C
territrem_A,291,37,C
testosterone,292,7,C
thioridazine,293,16,C
tolterodine,294,20,C
tolterodine,294,19,C
toremifene,295,20,C
toremifene,295,19,C
tramadol,296,19,C
tramadol,296,18,C
trans_phenylpropene,297,9,C
trans_retinoic_acid,298,15,C
trazodone,299,13,C
triazolam,300,15,C
trimethadione,301,7,C
trofosfamide,302,3,C
trofosfamide,302,2,C
troglitazone,303,16,O
tropisetron,304,21,C
uk_343664,305,31,C
valdecoxib,306,10,C
valspodar,307,62,C
valspodar,307,61,C
venlafaxine,308,16,C
venlafaxine,308,15,C
verapamil,309,13,C
vitamin_d2,310,25,C
voriconazole,311,9,C
yohimbine,312,17,C
zafirlukast,313,29,C
zaleplon,314,22,C
zatosetron,315,21,N
zileuton,316,4,S
ziprasidone,317,23,S
zolpidem,318,19,C
zonisamide,319,2,C
zopiclone,320,25,N
zotepine,321,22,C
zotepine,321,21,C
13_cis_retinoic_acid,322,7,C
18_methoxycoronaridine,323,23,C
2-2prime-4-5-5prime-pentachlorobiphenyl,324,14,C
2-acetylbenzothiophene,325,5,S
2-oxo-clopidogrel,326,2,S
2-oxoquazepam,327,13,C
2n_propylquinoline,328,11,C
2prime_hydroxy_indomethacin_phenethylamide,329,27,C
2prime_hydroxy_indomethacin_phenethylamide,329,28,O
3-methylether-estradiol,330,21,C
4-chloromethyl-7-ethoxycoumarin,331,5,C
4-nitroanisole,332,7,C
5betacholestane-3_7_12_trihydroxy,333,28,C
6-aminochrysene,334,10,N
6_methylchrysene,335,13,C
6-nitrochrysene,336,1,C
6-nitrochrysene,336,2,C
6-nitrochrysene,336,19,N
7-benzyloxy-4-trifluoromethylcoumarin,337,5,C
7-benzyloxyquinoline,338,11,C
7-benzyloxyresorufin,339,17,C
7-butoxycoumarin,340,7,C
7-ethoxycoumarin,341,5,C
7-hexoxycoumarin,342,8,C
7-hexoxycoumarin,342,9,C
7-hydroxy-delta_8_tetrahydrocannabinol,343,14,C
7-pentoxycoumarin,344,7,C
7-pentoxycoumarin,344,8,C
7-pentoxyresorufin,345,17,C
7MBAC,346,10,C
7MBAC,346,11,C
9_cis_retinal,347,21,C
11_oxo_delta8_tetrahydrocannabinol,348,17,C
BDB,349,14,C
CP_122_721,350,8,C
CP_677_623,351,6,C
CP_125_611,352,8,C
DBAJAC,353,15,C
DBAJAC,353,16,C
DBAJAC,353,21,C
DBAJAC,353,22,C
DDTC_Me,354,6,C
DDTC_Me,354,7,S
DMBA,355,19,C
DMBA,355,20,C
E3179,356,29,C
GTS-21,357,23,C
L_775606,358,23,C
KR_31543,359,18,C
MBDB,360,15,C
MDA,361,12,C
MDMA,362,13,C
MOCA,363,8,N
MOCA,363,14,N
MOP-13031,364,13,N
MOP-13031,364,1,C
NDEA,365,4,C
NDEA,365,6,C
NDMA,366,4,C
NDMA,366,5,C
NDPA,367,4,C
NDPA,367,5,C
NMBA,368,4,C
NMEA,369,5,C
NNAL,370,12,C
N_desacetyl_indiplon,371,21,C
RHP+,372,10,C
O6-benzylguanine,373,2,C
TFMPP,374,9,C
TFMPP,374,10,C
abbott-66193,375,4,S
abt_761,376,7,C
acetaminophen,377,1,O
acetaminophen,377,3,N
all_trans_retinal,378,7,C
aminopyrine,379,12,C
aminopyrine,379,13,C
antipyrine,380,7,C
aprepitant_M1,381,1,N
aprepitant_M1,381,5,C
arachidonic_acid,382,6,C
atomoxetine,383,12,C
benzo_a_pyrene,384,15,C
benzphetamine,385,6,C
bisnor,386,8,C
bms_275183,387,53,C
bms_275183,387,54,C
bms_275183,387,55,C
bpr0l075,388,5,C
bpr0l075,388,8,C
bromodichloromethane,389,1,C
bromodichloromethane,389,4,Br
butachlor,390,18,C
caffeine,391,11,C
celecoxib,392,26,C
chenodeoxycholic_acid,393,27,C
chlorpromazine_compound_1,394,5,S
chlorpropamide,395,4,C
chlorpropamide,395,3,C
cholic_acid,396,28,C
cholic_acid,396,29,O
cibenzoline,397,17,C
cibenzoline,397,18,C
cj_12_458,398,32,C
clopidogrel,399,3,C
clotiazepam,400,12,C
clotiazepam,400,19,C
coumarin,401,7,C
coumarin,401,8,C
cyamemazine,402,22,C
cyamemazine,402,23,C
dapsone,403,1,N
dapsone,403,15,N
delta9_tetrahydrocannabinol,404,16,C
deoxypodophyllotoxin,405,11,C
deoxypodophyllotoxin,405,26,C
deoxypodophyllotoxin,405,27,C
deoxypodophyllotoxin,405,28,C
deoxypodophyllotoxin,405,29,C
diazinon,406,1,P
diazinon,406,5,S
dibenzo_a_h_anthracene,407,3,C
dibenzo_a_h_anthracene,407,4,C
dibenzo_a_h_anthracene,407,10,C
dibenzo_a_h_anthracene,407,11,C
dibenzo_a_l_pyrene,408,8,C
dibenzo_a_l_pyrene,408,17,C
dibenzo_a_l_pyrene,408,18,C
dibenzylfluorescein,409,16,C
dibenzylfluorescein,409,33,C
diphenhydramine,410,8,C
diphenhydramine,410,9,C
diuron,411,10,C
diuron,411,11,C
efavirenz,412,18,C
ethanol,413,2,C
ethinylestradiol,414,21,C
ethylmorphine,415,19,C
etizolam,416,13,C
etizolam,416,21,C
fk_506_M1,417,14,C
ibogaine,418,11,C
indiplon,419,21,C
ipriflavone,420,2,C
jpc_2056,421,5,N
jpc_2056,421,12,C
licofelone,422,26,C
limonene,423,10,C
melatonin,424,10,C
meperidine,425,11,C
mesoridazine,426,14,S
methoxychlor,427,20,C
methoxychlor,427,21,C
methoxychlor_bis_OH,428,12,C
methoxychlor_bis_OH,428,13,C
methoxychlor_bis_OH,428,14,C
methoxychlor_bis_OH,428,15,C
metoclopramide,429,18,C
metoclopramide,429,17,C
metolachlor,430,19,C
mk_0457,431,21,C
ml_3403,432,1,S
ml_3603,433,1,S
ml_3603,433,2,O
morphine,434,20,C
muraglitazar,435,14,C
nelfinavir,436,39,C
nicotine,437,9,C
nor_laam,438,20,C
nordiazepam,439,12,C
norverapamil,440,24,C
o-phenylphenol,441,9,C
ochratoxin_a,442,6,C
olanzapine,443,19,N
perhexiline,444,15,C
perhexiline,444,16,C
phenanthrene,445,4,C
phenanthrene,445,5,C
pioglitazone,446,2,C
pranidipine,447,13,N
pranidipine,447,1,C
pregnenolone,448,12,C
proguanil,449,3,N
proguanil,449,7,C
propofol,450,12,C
prostaglandin_H2,451,8,C
prostaglandin_H2,451,9,C
ps_15,452,7,N
ps_15,452,14,C
quetiapine,453,7,S
reduced_diclofenac,454,13,C
reduced_dolasetron,455,16,N
rosiglitazone,456,23,C
safrole,457,1,C
sertindole,458,22,C
sibutramine,459,13,C
sibutramine,459,14,C
simvastatin_hydroxy_acid,460,22,C
simvastatin_hydroxy_acid,460,15,C
styrene,461,3,C
styrene,461,4,C
tamarixetin,462,23,C
tangeretin_T27,463,23,C
tangeretin_T27,463,24,C
tegafur,464,7,C
temazepam,465,10,C
tetranor,466,10,C
theophylline,467,12,C
ticlopidine,468,4,S
tirilazad,469,23,C
tpa023,470,19,C
tpa023,470,20,C
tpa023,470,21,C
tpa023,470,28,C
urporphyrinogen,471,29,C
urporphyrinogen,471,30,C
urporphyrinogen,471,31,C
urporphyrinogen,471,32,C
vicriviroc,472,5,C
voreloxin,473,8,C
voreloxin,473,9,C
voreloxin,473,26,C
voreloxin,473,28,C
warfarin-r,474,7,C
warfarin-s,475,21,C
